_time,_value,_field,_measurement
2023-07-18 08:35:00+00:00,51.912,value,rack1_ambient
2023-07-18 08:43:00+00:00,10.584,value,rack1_ambient
2023-07-18 08:45:00+00:00,-1.0,value,rack1_ambient
2023-07-18 08:46:00+00:00,-1.0,value,rack1_ambient
2023-07-18 08:47:00+00:00,272.16,value,rack1_ambient
2023-07-18 08:48:00+00:00,758.016,value,rack1_ambient
2023-07-18 08:54:00+00:00,-1.0,value,rack1_ambient
2023-07-18 08:55:00+00:00,163.296,value,rack1_ambient
2023-07-18 08:57:00+00:00,2999.808,value,rack1_ambient
2023-07-18 08:58:00+00:00,-1.0,value,rack1_ambient
2023-07-18 08:59:00+00:00,842.688,value,rack1_ambient
2023-07-18 09:00:00+00:00,3144.96,value,rack1_ambient
2023-07-18 09:01:00+00:00,298.368,value,rack1_ambient
2023-07-18 09:03:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:04:00+00:00,292.32,value,rack1_ambient
2023-07-18 09:05:00+00:00,272.16,value,rack1_ambient
2023-07-18 09:07:00+00:00,298.368,value,rack1_ambient
2023-07-18 09:08:00+00:00,314.496,value,rack1_ambient
2023-07-18 09:09:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:11:00+00:00,290.304,value,rack1_ambient
2023-07-18 09:12:00+00:00,294.336,value,rack1_ambient
2023-07-18 09:13:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:15:00+00:00,288.288,value,rack1_ambient
2023-07-18 09:16:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:17:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:19:00+00:00,292.32,value,rack1_ambient
2023-07-18 09:20:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:21:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:23:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:24:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:25:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:27:00+00:00,294.336,value,rack1_ambient
2023-07-18 09:28:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:29:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:31:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:32:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:33:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:35:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:36:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:37:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:39:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:40:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:41:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:43:00+00:00,296.352,value,rack1_ambient
2023-07-18 09:44:00+00:00,294.336,value,rack1_ambient
2023-07-18 09:45:00+00:00,294.336,value,rack1_ambient
2023-07-18 09:47:00+00:00,294.336,value,rack1_ambient
2023-07-18 09:48:00+00:00,294.336,value,rack1_ambient
2023-07-18 09:49:00+00:00,294.336,value,rack1_ambient
2023-07-18 09:51:00+00:00,294.336,value,rack1_ambient
2023-07-18 09:52:00+00:00,294.336,value,rack1_ambient
2023-07-18 09:53:00+00:00,294.336,value,rack1_ambient
2023-07-18 09:55:00+00:00,294.336,value,rack1_ambient
2023-07-18 09:56:00+00:00,294.336,value,rack1_ambient
2023-07-18 09:57:00+00:00,294.336,value,rack1_ambient
2023-07-18 09:59:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:00:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:01:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:03:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:04:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:05:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:06:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:08:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:09:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:10:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:12:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:13:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:14:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:16:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:17:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:18:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:20:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:21:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:22:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:24:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:25:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:26:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:28:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:29:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:30:00+00:00,294.336,value,rack1_ambient
2023-07-18 10:32:00+00:00,173.376,value,rack1_ambient
2023-07-18 10:33:00+00:00,173.376,value,rack1_ambient
2023-07-18 10:34:00+00:00,173.376,value,rack1_ambient
2023-07-18 10:36:00+00:00,173.376,value,rack1_ambient
2023-07-18 10:37:00+00:00,173.376,value,rack1_ambient
2023-07-18 10:38:00+00:00,173.376,value,rack1_ambient
2023-07-18 10:40:00+00:00,173.376,value,rack1_ambient
2023-07-18 10:41:00+00:00,172.368,value,rack1_ambient
2023-07-18 10:42:00+00:00,172.368,value,rack1_ambient
2023-07-18 10:44:00+00:00,172.368,value,rack1_ambient
2023-07-18 10:46:00+00:00,172.368,value,rack1_ambient
2023-07-18 10:48:00+00:00,172.368,value,rack1_ambient
2023-07-18 10:49:00+00:00,172.368,value,rack1_ambient
2023-07-18 10:50:00+00:00,172.368,value,rack1_ambient
2023-07-18 10:52:00+00:00,172.368,value,rack1_ambient
2023-07-18 10:53:00+00:00,169.344,value,rack1_ambient
2023-07-18 10:54:00+00:00,169.344,value,rack1_ambient
2023-07-18 10:56:00+00:00,169.344,value,rack1_ambient
2023-07-18 10:57:00+00:00,169.344,value,rack1_ambient
2023-07-18 10:58:00+00:00,169.344,value,rack1_ambient
2023-07-18 11:00:00+00:00,169.344,value,rack1_ambient
2023-07-18 11:01:00+00:00,169.344,value,rack1_ambient
2023-07-18 11:02:00+00:00,169.344,value,rack1_ambient
2023-07-18 11:04:00+00:00,161.28,value,rack1_ambient
2023-07-18 11:05:00+00:00,160.272,value,rack1_ambient
2023-07-18 11:06:00+00:00,161.28,value,rack1_ambient
2023-07-18 11:08:00+00:00,160.272,value,rack1_ambient
2023-07-18 11:09:00+00:00,0.504,value,rack1_ambient
2023-07-18 11:10:00+00:00,0.504,value,rack1_ambient
2023-07-18 11:12:00+00:00,0.504,value,rack1_ambient
2023-07-18 11:13:00+00:00,0.504,value,rack1_ambient
2023-07-18 11:14:00+00:00,0.504,value,rack1_ambient
2023-07-18 11:16:00+00:00,0.504,value,rack1_ambient
2023-07-18 11:17:00+00:00,0.504,value,rack1_ambient
2023-07-18 11:18:00+00:00,0.504,value,rack1_ambient
2023-07-18 11:20:00+00:00,0.504,value,rack1_ambient
2023-07-18 11:21:00+00:00,0.504,value,rack1_ambient
2023-07-18 11:22:00+00:00,0.504,value,rack1_ambient
2023-07-18 11:24:00+00:00,0.504,value,rack1_ambient
2023-07-18 11:25:00+00:00,0.504,value,rack1_ambient
2023-07-18 11:26:00+00:00,1.008,value,rack1_ambient
2023-07-18 11:28:00+00:00,1.008,value,rack1_ambient
2023-07-18 11:29:00+00:00,1.008,value,rack1_ambient
