_time,_value,_field,_measurement,day,month,station,year
2023-07-14 19:00:00+00:00,0.0,daily_rainfall_total,Daily Weather Conditions,1,1,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_120min_rainfall,Daily Weather Conditions,1,1,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_30min_rainfall,Daily Weather Conditions,1,1,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_60min_rainfall,Daily Weather Conditions,1,1,Admiralty,2023
2023-07-14 19:00:00+00:00,27.8,max_wind_speed,Daily Weather Conditions,1,1,Admiralty,2023
2023-07-14 19:00:00+00:00,30.1,maximum_temperature,Daily Weather Conditions,1,1,Admiralty,2023
2023-07-14 19:00:00+00:00,26.8,mean_temperature,Daily Weather Conditions,1,1,Admiralty,2023
2023-07-14 19:00:00+00:00,10.7,mean_wind_speed,Daily Weather Conditions,1,1,Admiralty,2023
2023-07-14 19:00:00+00:00,24.8,minimum_temperature,Daily Weather Conditions,1,1,Admiralty,2023
2023-07-14 19:00:00+00:00,22.6,daily_rainfall_total,Daily Weather Conditions,1,10,Admiralty,2022
2023-07-14 19:00:00+00:00,21.4,highest_120min_rainfall,Daily Weather Conditions,1,10,Admiralty,2022
2023-07-14 19:00:00+00:00,18.6,highest_30min_rainfall,Daily Weather Conditions,1,10,Admiralty,2022
2023-07-14 19:00:00+00:00,21.4,highest_60min_rainfall,Daily Weather Conditions,1,10,Admiralty,2022
2023-07-14 19:00:00+00:00,27.8,max_wind_speed,Daily Weather Conditions,1,10,Admiralty,2022
2023-07-14 19:00:00+00:00,31.8,maximum_temperature,Daily Weather Conditions,1,10,Admiralty,2022
2023-07-14 19:00:00+00:00,26.8,mean_temperature,Daily Weather Conditions,1,10,Admiralty,2022
2023-07-14 19:00:00+00:00,6.0,mean_wind_speed,Daily Weather Conditions,1,10,Admiralty,2022
2023-07-14 19:00:00+00:00,24.4,minimum_temperature,Daily Weather Conditions,1,10,Admiralty,2022
2023-07-14 19:00:00+00:00,0.0,daily_rainfall_total,Daily Weather Conditions,1,11,Admiralty,2022
2023-07-14 19:00:00+00:00,0.0,highest_120min_rainfall,Daily Weather Conditions,1,11,Admiralty,2022
2023-07-14 19:00:00+00:00,0.0,highest_30min_rainfall,Daily Weather Conditions,1,11,Admiralty,2022
2023-07-14 19:00:00+00:00,0.0,highest_60min_rainfall,Daily Weather Conditions,1,11,Admiralty,2022
2023-07-14 19:00:00+00:00,54.4,max_wind_speed,Daily Weather Conditions,1,11,Admiralty,2022
2023-07-14 19:00:00+00:00,30.0,maximum_temperature,Daily Weather Conditions,1,11,Admiralty,2022
2023-07-14 19:00:00+00:00,27.0,mean_temperature,Daily Weather Conditions,1,11,Admiralty,2022
2023-07-14 19:00:00+00:00,5.5,mean_wind_speed,Daily Weather Conditions,1,11,Admiralty,2022
2023-07-14 19:00:00+00:00,24.5,minimum_temperature,Daily Weather Conditions,1,11,Admiralty,2022
2023-07-14 19:00:00+00:00,26.6,daily_rainfall_total,Daily Weather Conditions,1,12,Admiralty,2022
2023-07-14 19:00:00+00:00,23.6,highest_120min_rainfall,Daily Weather Conditions,1,12,Admiralty,2022
2023-07-14 19:00:00+00:00,20.0,highest_30min_rainfall,Daily Weather Conditions,1,12,Admiralty,2022
2023-07-14 19:00:00+00:00,23.0,highest_60min_rainfall,Daily Weather Conditions,1,12,Admiralty,2022
2023-07-14 19:00:00+00:00,43.9,max_wind_speed,Daily Weather Conditions,1,12,Admiralty,2022
2023-07-14 19:00:00+00:00,31.2,maximum_temperature,Daily Weather Conditions,1,12,Admiralty,2022
2023-07-14 19:00:00+00:00,26.0,mean_temperature,Daily Weather Conditions,1,12,Admiralty,2022
2023-07-14 19:00:00+00:00,6.3,mean_wind_speed,Daily Weather Conditions,1,12,Admiralty,2022
2023-07-14 19:00:00+00:00,22.9,minimum_temperature,Daily Weather Conditions,1,12,Admiralty,2022
2023-07-14 19:00:00+00:00,0.0,daily_rainfall_total,Daily Weather Conditions,1,2,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_120min_rainfall,Daily Weather Conditions,1,2,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_30min_rainfall,Daily Weather Conditions,1,2,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_60min_rainfall,Daily Weather Conditions,1,2,Admiralty,2023
2023-07-14 19:00:00+00:00,33.5,max_wind_speed,Daily Weather Conditions,1,2,Admiralty,2023
2023-07-14 19:00:00+00:00,30.3,maximum_temperature,Daily Weather Conditions,1,2,Admiralty,2023
2023-07-14 19:00:00+00:00,26.3,mean_temperature,Daily Weather Conditions,1,2,Admiralty,2023
2023-07-14 19:00:00+00:00,12.2,mean_wind_speed,Daily Weather Conditions,1,2,Admiralty,2023
2023-07-14 19:00:00+00:00,23.8,minimum_temperature,Daily Weather Conditions,1,2,Admiralty,2023
2023-07-14 19:00:00+00:00,55.0,daily_rainfall_total,Daily Weather Conditions,1,3,Admiralty,2023
2023-07-14 19:00:00+00:00,16.6,highest_120min_rainfall,Daily Weather Conditions,1,3,Admiralty,2023
2023-07-14 19:00:00+00:00,10.0,highest_30min_rainfall,Daily Weather Conditions,1,3,Admiralty,2023
2023-07-14 19:00:00+00:00,13.6,highest_60min_rainfall,Daily Weather Conditions,1,3,Admiralty,2023
2023-07-14 19:00:00+00:00,33.2,max_wind_speed,Daily Weather Conditions,1,3,Admiralty,2023
2023-07-14 19:00:00+00:00,25.0,maximum_temperature,Daily Weather Conditions,1,3,Admiralty,2023
2023-07-14 19:00:00+00:00,23.2,mean_temperature,Daily Weather Conditions,1,3,Admiralty,2023
