_time,_value,_field,_measurement
2023-06-19 06:00:00,703.42,value,rack1_light
2023-06-19 06:30:00,891.22,value,rack1_light
2023-06-19 07:00:00,1001.74,value,rack1_light
2023-06-19 09:00:00,878.96,value,rack1_light
2023-06-19 09:30:00,519.63,value,rack1_light
2023-06-19 10:00:00,534.13,value,rack1_light
2023-06-19 10:30:00,562.64,value,rack1_light
2023-06-19 11:00:00,577.89,value,rack1_light
2023-06-19 11:30:00,231.81,value,rack1_light
2023-06-19 12:00:00,241.81,value,rack1_light
2023-06-19 12:30:00,256.31,value,rack1_light
2023-06-19 13:00:00,261.31,value,rack1_light
2023-06-19 13:30:00,260.56,value,rack1_light
2023-06-19 14:00:00,262.06,value,rack1_light
2023-06-19 14:30:00,251.56,value,rack1_light
2023-06-19 15:00:00,249.81,value,rack1_light
2023-06-19 15:30:00,264.06,value,rack1_light
2023-06-19 16:00:00,248.56,value,rack1_light
2023-06-19 16:30:00,248.81,value,rack1_light
2023-06-19 17:00:00,246.56,value,rack1_light
2023-06-19 17:30:00,247.31,value,rack1_light
2023-06-19 18:00:00,248.81,value,rack1_light
2023-06-19 18:30:00,235.31,value,rack1_light
2023-06-19 19:00:00,1006.25,value,rack1_light
2023-06-19 19:30:00,1013.75,value,rack1_light
2023-06-19 20:00:00,1000.74,value,rack1_light
2023-06-19 20:30:00,984.9899,value,rack1_light
2023-06-19 21:00:00,1005.75,value,rack1_light
2023-06-19 21:30:00,1012.75,value,rack1_light
2023-06-19 22:00:00,1013.0,value,rack1_light
2023-06-19 22:30:00,1013.5,value,rack1_light
2023-06-19 23:00:00,1012.75,value,rack1_light
2023-06-19 23:30:00,988.49,value,rack1_light
2023-06-20 00:00:00,1007.25,value,rack1_light
2023-06-20 00:30:00,1004.75,value,rack1_light
2023-06-20 01:00:00,985.24,value,rack1_light
2023-06-20 01:30:00,1006.0,value,rack1_light
2023-06-20 02:00:00,1004.25,value,rack1_light
2023-06-20 02:30:00,985.4899,value,rack1_light
2023-06-20 03:00:00,990.74,value,rack1_light
2023-06-20 03:30:00,985.24,value,rack1_light
2023-06-20 04:00:00,1013.5,value,rack1_light
2023-06-20 04:30:00,1010.0,value,rack1_light
2023-06-20 05:00:00,995.99,value,rack1_light
2023-06-20 05:30:00,1011.75,value,rack1_light
2023-06-20 06:00:00,1013.75,value,rack1_light
2023-06-20 06:30:00,1004.75,value,rack1_light
2023-06-20 07:00:00,532.38,value,rack1_light
2023-06-20 07:30:00,540.88,value,rack1_light
2023-06-20 08:00:00,570.14,value,rack1_light
2023-06-20 08:30:00,559.64,value,rack1_light
2023-06-20 09:00:00,538.88,value,rack1_light
2023-06-20 09:30:00,521.63,value,rack1_light
2023-06-20 10:00:00,567.39,value,rack1_light
2023-06-20 10:30:00,548.38,value,rack1_light
2023-06-20 11:00:00,553.64,value,rack1_light
2023-06-20 11:30:00,252.06,value,rack1_light
2023-06-20 12:00:00,234.31,value,rack1_light
2023-06-20 12:30:00,234.06,value,rack1_light
2023-06-20 13:00:00,235.56,value,rack1_light
2023-06-20 13:30:00,220.55,value,rack1_light
2023-06-20 14:00:00,233.56,value,rack1_light
2023-06-20 14:30:00,244.06,value,rack1_light
2023-06-20 15:00:00,223.05,value,rack1_light
2023-06-20 15:30:00,231.31,value,rack1_light
2023-06-20 16:00:00,237.56,value,rack1_light
2023-06-20 16:30:00,218.8,value,rack1_light
2023-06-20 17:00:00,219.05,value,rack1_light
2023-06-20 17:30:00,239.81,value,rack1_light
2023-06-20 18:00:00,237.06,value,rack1_light
2023-06-20 18:30:00,225.81,value,rack1_light
2023-06-20 19:00:00,1011.25,value,rack1_light
2023-06-20 19:30:00,995.2399,value,rack1_light
2023-06-20 20:00:00,984.24,value,rack1_light
2023-06-20 20:30:00,1012.0,value,rack1_light
2023-06-20 21:00:00,986.99,value,rack1_light
2023-06-20 21:30:00,996.2399,value,rack1_light
2023-06-20 22:00:00,994.74,value,rack1_light
2023-06-20 22:30:00,1013.5,value,rack1_light
2023-06-20 23:00:00,1013.0,value,rack1_light
2023-06-20 23:30:00,1012.25,value,rack1_light
2023-06-21 00:00:00,990.99,value,rack1_light
2023-06-21 00:30:00,1013.0,value,rack1_light
2023-06-21 01:00:00,996.99,value,rack1_light
2023-06-21 01:30:00,999.49,value,rack1_light
2023-06-21 02:00:00,1003.75,value,rack1_light
2023-06-21 02:30:00,1011.0,value,rack1_light
2023-06-21 03:00:00,999.99,value,rack1_light
2023-06-21 03:30:00,1006.5,value,rack1_light
2023-06-21 04:00:00,1003.495,value,rack1_light
2023-06-21 04:30:00,1009.5,value,rack1_light
2023-06-21 05:00:00,1013.5,value,rack1_light
2023-06-21 05:30:00,1003.24,value,rack1_light
2023-06-21 06:00:00,994.74,value,rack1_light
2023-06-21 06:30:00,566.89,value,rack1_light
2023-06-21 07:00:00,574.39,value,rack1_light
2023-06-21 07:30:00,543.63,value,rack1_light
2023-06-21 08:00:00,534.13,value,rack1_light
2023-06-21 08:30:00,548.88,value,rack1_light
2023-06-21 09:00:00,556.14,value,rack1_light
2023-06-21 09:30:00,563.89,value,rack1_light
2023-06-21 10:00:00,557.14,value,rack1_light
2023-06-21 10:30:00,558.14,value,rack1_light
2023-06-21 11:00:00,260.56,value,rack1_light
2023-06-21 11:30:00,251.06,value,rack1_light
2023-06-21 12:00:00,238.31,value,rack1_light
2023-06-21 12:30:00,238.81,value,rack1_light
2023-06-21 13:00:00,228.56,value,rack1_light
2023-06-21 13:30:00,244.56,value,rack1_light
2023-06-21 14:00:00,257.06,value,rack1_light
2023-06-21 14:30:00,227.81,value,rack1_light
2023-06-21 15:00:00,243.81,value,rack1_light
2023-06-21 15:30:00,230.81,value,rack1_light
2023-06-21 16:00:00,259.31,value,rack1_light
2023-06-21 16:30:00,228.06,value,rack1_light
2023-06-21 17:00:00,254.56,value,rack1_light
2023-06-21 17:30:00,232.31,value,rack1_light
2023-06-21 18:00:00,234.06,value,rack1_light
2023-06-21 18:30:00,1010.5,value,rack1_light
2023-06-21 19:00:00,986.7399,value,rack1_light
2023-06-21 19:30:00,985.74,value,rack1_light
2023-06-21 20:00:00,1011.25,value,rack1_light
2023-06-21 20:30:00,1007.75,value,rack1_light
2023-06-21 21:00:00,1012.75,value,rack1_light
2023-06-21 21:30:00,1011.75,value,rack1_light
2023-06-21 22:00:00,983.7399,value,rack1_light
2023-06-21 22:30:00,1012.5,value,rack1_light
2023-06-21 23:00:00,1011.0,value,rack1_light
2023-06-21 23:30:00,1012.75,value,rack1_light
2023-06-22 00:00:00,994.24,value,rack1_light
2023-06-22 00:30:00,1013.0,value,rack1_light
2023-06-22 01:00:00,1008.75,value,rack1_light
2023-06-22 01:30:00,1006.5,value,rack1_light
2023-06-22 02:00:00,1012.5,value,rack1_light
2023-06-22 02:30:00,993.24,value,rack1_light
2023-06-22 03:00:00,1008.5,value,rack1_light
2023-06-22 03:30:00,1012.0,value,rack1_light
2023-06-22 04:30:00,1011.5,value,rack1_light
2023-06-22 05:00:00,986.49,value,rack1_light
2023-06-22 05:30:00,988.49,value,rack1_light
2023-06-22 06:00:00,991.49,value,rack1_light
2023-06-22 06:30:00,534.38,value,rack1_light
2023-06-22 07:00:00,558.89,value,rack1_light
2023-06-22 07:30:00,515.63,value,rack1_light
2023-06-22 08:00:00,528.63,value,rack1_light
2023-06-22 08:30:00,562.14,value,rack1_light
2023-06-22 09:00:00,512.88,value,rack1_light
2023-06-22 09:30:00,544.63,value,rack1_light
2023-06-22 10:00:00,548.63,value,rack1_light
2023-06-22 10:30:00,528.38,value,rack1_light
2023-06-22 11:00:00,253.31,value,rack1_light
2023-06-22 11:30:00,226.31,value,rack1_light
2023-06-22 12:00:00,215.05,value,rack1_light
2023-06-22 12:30:00,226.56,value,rack1_light
2023-06-22 13:00:00,245.06,value,rack1_light
2023-06-22 13:30:00,229.81,value,rack1_light
2023-06-22 14:00:00,217.3,value,rack1_light
2023-06-22 14:30:00,220.3,value,rack1_light
2023-06-22 15:00:00,255.06,value,rack1_light
2023-06-22 15:30:00,243.56,value,rack1_light
2023-06-22 16:00:00,225.05,value,rack1_light
2023-06-22 16:30:00,237.31,value,rack1_light
2023-06-22 17:00:00,246.56,value,rack1_light
2023-06-22 17:30:00,243.81,value,rack1_light
2023-06-22 18:00:00,210.05,value,rack1_light
2023-06-22 18:30:00,1009.0,value,rack1_light
2023-06-22 19:00:00,1011.75,value,rack1_light
2023-06-22 19:30:00,987.2399,value,rack1_light
2023-06-22 20:00:00,984.74,value,rack1_light
2023-06-22 20:30:00,1005.25,value,rack1_light
2023-06-22 21:00:00,994.74,value,rack1_light
2023-06-22 21:30:00,1012.0,value,rack1_light
2023-06-22 22:00:00,1013.0,value,rack1_light
2023-06-22 22:30:00,1012.25,value,rack1_light
2023-06-22 23:00:00,985.99,value,rack1_light
2023-06-22 23:30:00,1006.0,value,rack1_light
2023-06-23 00:00:00,1009.5,value,rack1_light
2023-06-23 00:30:00,1011.75,value,rack1_light
2023-06-23 01:00:00,989.74,value,rack1_light
2023-06-23 01:30:00,984.24,value,rack1_light
2023-06-23 02:00:00,997.9899,value,rack1_light
2023-06-23 02:30:00,1001.49,value,rack1_light
2023-06-23 03:00:00,993.24,value,rack1_light
2023-06-23 03:30:00,1013.5,value,rack1_light
2023-06-23 04:00:00,1012.25,value,rack1_light
2023-06-23 04:30:00,1013.0,value,rack1_light
2023-06-23 05:00:00,1011.25,value,rack1_light
2023-06-23 05:30:00,1006.75,value,rack1_light
2023-06-23 06:00:00,1011.75,value,rack1_light
2023-06-23 06:30:00,540.88,value,rack1_light
2023-06-23 07:00:00,542.88,value,rack1_light
2023-06-23 07:30:00,524.63,value,rack1_light
2023-06-23 08:00:00,498.37,value,rack1_light
2023-06-23 08:30:00,556.64,value,rack1_light
2023-06-23 09:00:00,524.38,value,rack1_light
2023-06-23 09:30:00,506.87,value,rack1_light
2023-06-23 10:00:00,502.87,value,rack1_light
2023-06-23 10:30:00,497.12,value,rack1_light
2023-06-23 11:00:00,227.31,value,rack1_light
2023-06-23 11:30:00,236.81,value,rack1_light
2023-06-23 12:00:00,208.55,value,rack1_light
2023-06-23 12:30:00,234.31,value,rack1_light
2023-06-23 13:00:00,238.81,value,rack1_light
2023-06-23 13:30:00,239.81,value,rack1_light
2023-06-23 14:00:00,214.55,value,rack1_light
2023-06-23 14:30:00,223.55,value,rack1_light
2023-06-23 15:00:00,244.56,value,rack1_light
2023-06-23 15:30:00,209.05,value,rack1_light
2023-06-23 16:00:00,218.8,value,rack1_light
2023-06-23 16:30:00,236.31,value,rack1_light
2023-06-23 17:00:00,234.56,value,rack1_light
2023-06-23 17:30:00,236.81,value,rack1_light
2023-06-23 18:00:00,187.55,value,rack1_light
2023-06-23 18:30:00,1013.0,value,rack1_light
2023-06-23 19:30:00,984.74,value,rack1_light
2023-06-23 20:30:00,1008.25,value,rack1_light
2023-06-23 21:00:00,1010.75,value,rack1_light
2023-06-23 21:30:00,1003.24,value,rack1_light
2023-06-23 22:00:00,1012.5,value,rack1_light
2023-06-23 23:00:00,1005.0,value,rack1_light
2023-06-23 23:30:00,983.49,value,rack1_light
2023-06-24 00:00:00,1007.5,value,rack1_light
2023-06-24 00:30:00,986.7399,value,rack1_light
2023-06-24 01:00:00,1008.25,value,rack1_light
2023-06-24 01:30:00,1012.25,value,rack1_light
2023-06-24 02:00:00,988.74,value,rack1_light
2023-06-24 02:30:00,1012.5,value,rack1_light
2023-06-24 03:00:00,1000.99,value,rack1_light
2023-06-24 03:30:00,1010.75,value,rack1_light
2023-06-24 04:00:00,989.24,value,rack1_light
2023-06-24 04:30:00,1003.5,value,rack1_light
2023-06-24 05:00:00,1007.5,value,rack1_light
2023-06-24 06:00:00,1012.75,value,rack1_light
2023-06-24 06:30:00,541.38,value,rack1_light
2023-06-24 07:00:00,504.37,value,rack1_light
2023-06-24 07:30:00,503.62,value,rack1_light
2023-06-24 08:00:00,548.63,value,rack1_light
2023-06-24 08:30:00,494.62,value,rack1_light
2023-06-24 09:00:00,504.62,value,rack1_light
2023-06-24 09:30:00,511.12,value,rack1_light
2023-06-24 10:00:00,493.87,value,rack1_light
2023-06-24 10:30:00,517.38,value,rack1_light
2023-06-24 11:00:00,239.81,value,rack1_light
2023-06-24 11:30:00,227.31,value,rack1_light
2023-06-24 12:00:00,206.55,value,rack1_light
2023-06-24 12:30:00,215.3,value,rack1_light
2023-06-24 13:00:00,203.8,value,rack1_light
2023-06-24 13:30:00,210.3,value,rack1_light
2023-06-24 14:00:00,229.81,value,rack1_light
2023-06-24 14:30:00,218.8,value,rack1_light
2023-06-24 15:00:00,211.8,value,rack1_light
2023-06-24 15:30:00,227.81,value,rack1_light
2023-06-24 16:00:00,203.3,value,rack1_light
2023-06-24 16:30:00,198.3,value,rack1_light
2023-06-24 17:00:00,224.55,value,rack1_light
2023-06-24 17:30:00,223.3,value,rack1_light
2023-06-24 18:00:00,178.29,value,rack1_light
2023-06-24 18:30:00,999.49,value,rack1_light
2023-06-24 19:00:00,986.24,value,rack1_light
2023-06-24 19:30:00,1006.75,value,rack1_light
