_time,_value,_field,_measurement
2023-06-19 06:30:00+00:00,24.35,value,rack1_temperature
2023-06-19 07:00:00+00:00,21.63,value,rack1_temperature
2023-06-19 09:00:00+00:00,25.29,value,rack1_temperature
2023-06-19 09:30:00+00:00,22.46,value,rack1_temperature
2023-06-19 10:00:00+00:00,21.6,value,rack1_temperature
2023-06-19 10:30:00+00:00,21.0,value,rack1_temperature
2023-06-19 11:00:00+00:00,20.6,value,rack1_temperature
2023-06-19 11:30:00+00:00,20.04,value,rack1_temperature
2023-06-19 12:00:00+00:00,19.1,value,rack1_temperature
2023-06-19 12:30:00+00:00,18.33,value,rack1_temperature
2023-06-19 13:00:00+00:00,17.74,value,rack1_temperature
2023-06-19 13:30:00+00:00,17.61,value,rack1_temperature
2023-06-19 14:00:00+00:00,17.54,value,rack1_temperature
2023-06-19 14:30:00+00:00,17.39,value,rack1_temperature
2023-06-19 15:00:00+00:00,17.3,value,rack1_temperature
2023-06-19 15:30:00+00:00,17.23,value,rack1_temperature
2023-06-19 16:00:00+00:00,17.2,value,rack1_temperature
2023-06-19 16:30:00+00:00,17.1,value,rack1_temperature
2023-06-19 17:00:00+00:00,17.0,value,rack1_temperature
2023-06-19 17:30:00+00:00,16.96,value,rack1_temperature
2023-06-19 18:00:00+00:00,16.88,value,rack1_temperature
2023-06-19 18:30:00+00:00,16.79,value,rack1_temperature
2023-06-19 19:00:00+00:00,17.53,value,rack1_temperature
2023-06-19 19:30:00+00:00,18.0,value,rack1_temperature
2023-06-19 20:00:00+00:00,18.15,value,rack1_temperature
2023-06-19 20:30:00+00:00,18.18,value,rack1_temperature
2023-06-19 21:00:00+00:00,18.48,value,rack1_temperature
2023-06-19 21:30:00+00:00,18.65,value,rack1_temperature
2023-06-19 22:00:00+00:00,18.71,value,rack1_temperature
2023-06-19 22:30:00+00:00,18.77,value,rack1_temperature
2023-06-19 23:00:00+00:00,18.78,value,rack1_temperature
2023-06-19 23:30:00+00:00,18.92,value,rack1_temperature
2023-06-20 00:00:00+00:00,19.06,value,rack1_temperature
2023-06-20 00:30:00+00:00,19.02,value,rack1_temperature
2023-06-20 01:00:00+00:00,19.15,value,rack1_temperature
2023-06-20 01:30:00+00:00,19.41,value,rack1_temperature
2023-06-20 02:00:00+00:00,19.3,value,rack1_temperature
2023-06-20 02:30:00+00:00,19.32,value,rack1_temperature
2023-06-20 03:00:00+00:00,19.63,value,rack1_temperature
2023-06-20 03:30:00+00:00,19.99,value,rack1_temperature
2023-06-20 04:00:00+00:00,20.19,value,rack1_temperature
2023-06-20 04:30:00+00:00,20.25,value,rack1_temperature
2023-06-20 05:00:00+00:00,20.235,value,rack1_temperature
2023-06-20 05:30:00+00:00,20.32,value,rack1_temperature
2023-06-20 06:00:00+00:00,20.35,value,rack1_temperature
2023-06-20 06:30:00+00:00,19.71,value,rack1_temperature
2023-06-20 07:00:00+00:00,19.1,value,rack1_temperature
2023-06-20 07:30:00+00:00,19.01,value,rack1_temperature
2023-06-20 08:00:00+00:00,19.01,value,rack1_temperature
2023-06-20 08:30:00+00:00,19.22,value,rack1_temperature
2023-06-20 09:00:00+00:00,19.47,value,rack1_temperature
2023-06-20 09:30:00+00:00,19.5,value,rack1_temperature
2023-06-20 10:00:00+00:00,19.46,value,rack1_temperature
2023-06-20 10:30:00+00:00,19.5,value,rack1_temperature
2023-06-20 11:00:00+00:00,19.34,value,rack1_temperature
2023-06-20 11:30:00+00:00,18.62,value,rack1_temperature
2023-06-20 12:00:00+00:00,17.96,value,rack1_temperature
2023-06-20 12:30:00+00:00,17.65,value,rack1_temperature
2023-06-20 13:00:00+00:00,17.66,value,rack1_temperature
2023-06-20 13:30:00+00:00,17.61,value,rack1_temperature
2023-06-20 14:00:00+00:00,17.55,value,rack1_temperature
2023-06-20 14:30:00+00:00,17.49,value,rack1_temperature
2023-06-20 15:00:00+00:00,17.43,value,rack1_temperature
2023-06-20 15:30:00+00:00,17.44,value,rack1_temperature
2023-06-20 16:00:00+00:00,17.34,value,rack1_temperature
2023-06-20 16:30:00+00:00,17.28,value,rack1_temperature
2023-06-20 17:00:00+00:00,17.21,value,rack1_temperature
2023-06-20 17:30:00+00:00,17.14,value,rack1_temperature
2023-06-20 18:00:00+00:00,17.1,value,rack1_temperature
2023-06-20 18:30:00+00:00,17.67,value,rack1_temperature
2023-06-20 19:00:00+00:00,18.3,value,rack1_temperature
2023-06-20 19:30:00+00:00,18.46,value,rack1_temperature
2023-06-20 20:00:00+00:00,18.49,value,rack1_temperature
2023-06-20 20:30:00+00:00,18.45,value,rack1_temperature
2023-06-20 21:00:00+00:00,18.41,value,rack1_temperature
2023-06-20 21:30:00+00:00,18.35,value,rack1_temperature
2023-06-20 22:00:00+00:00,18.27,value,rack1_temperature
2023-06-20 22:30:00+00:00,18.26,value,rack1_temperature
2023-06-20 23:00:00+00:00,18.33,value,rack1_temperature
2023-06-20 23:30:00+00:00,18.97,value,rack1_temperature
2023-06-21 00:00:00+00:00,18.99,value,rack1_temperature
2023-06-21 00:30:00+00:00,19.09,value,rack1_temperature
2023-06-21 01:00:00+00:00,19.54,value,rack1_temperature
2023-06-21 01:30:00+00:00,20.26,value,rack1_temperature
2023-06-21 02:00:00+00:00,20.55,value,rack1_temperature
2023-06-21 02:30:00+00:00,20.7,value,rack1_temperature
2023-06-21 03:00:00+00:00,21.54,value,rack1_temperature
2023-06-21 03:30:00+00:00,22.35,value,rack1_temperature
2023-06-21 04:00:00+00:00,23.05,value,rack1_temperature
2023-06-21 04:30:00+00:00,22.26,value,rack1_temperature
2023-06-21 05:00:00+00:00,21.84,value,rack1_temperature
2023-06-21 05:30:00+00:00,21.53,value,rack1_temperature
2023-06-21 06:00:00+00:00,22.7,value,rack1_temperature
2023-06-21 06:30:00+00:00,22.57,value,rack1_temperature
2023-06-21 07:00:00+00:00,22.0,value,rack1_temperature
